market_cap,circulating_market_cap,anon_1,anon_2,net_profit_to_total_revenue,inc_revenue_year_on_year,development_expenditure,pe_ratio,pb_ratio,inc_net_profit_year_on_year,dividend_payable,roe,roa,anon_3,gross_profit_margin,anon_4,pcf_ratio,ps_ratio,monthreturn
2942.9229,2006.8348,291081814016.0,1.06816593,32.05,14.67,0.0,7.1354,1.0399,3.29,0.0,4.21,0.26,0.99883744,0.0,0.00323331,-3.2197,2.2186,1.1828298661850773
1512.4271,1247.6886,150880124928.0,1.06235675,22.99,39.02,0.0,7.0956,1.0024,18.69,0.0,4.14,0.24,0.99974433,0.0,0.00143551,0.9695,1.7741,1.0567643888422786
440.2868,389.5208,38104203264.0,1.06153696,39.24,22.35,0.0,7.226,1.1582,14.08,0.0,4.87,0.29,0.99951527,0.0,0.00508944,-2.1213,2.5793,1.0956596927275584
2883.8267,2307.0613,288995934208.0,1.0669787,33.99,19.94,0.0,5.974,1.1275,6.29,13000000.0,4.45,0.29,0.98762846,0.0,0.00327799,7.9246,2.1387,1.0284605867613335
1131.6021,824.4552,111797993472.0,1.06192306,33.37,9.47,0.0,6.0924,1.0185,3.95,0.0,4.74,0.28,0.99752757,0.0,0.00528992,1.0114,1.9909999999999999,0.9886685434747777
3298.2754,2671.48,288312786944.0,1.071849,33.53,20.57,0.0,7.2087,1.1768,4.13,0.0,5.02,0.33,0.98968665,0.0,0.00819168,-7.58,2.24,0.9513274725330698
4542.0942,3715.2729,332918161408.0,1.06810506,29.72,23.04,0.0,7.7738,1.3678,2.02,0.0,4.75,0.31,0.99270113,0.0,0.00549009,-3.1996,2.4454,1.0183231778856547
500.181,441.1835,44331171840.0,1.0645314,30.95,46.02,0.0,7.9273,1.1827,24.05,0.0,4.6,0.26,0.99815913,0.0,0.00577805,51.4117,2.5684,1.041722696383909
2794.9778,2373.5498,291430203392.0,1.06028169,34.39,23.52,0.0,5.662999999999999,1.0663,6.86,0.0,4.62,0.27,0.99664101,0.0,0.00202794,2.5374,2.0291,1.035446506945422
1108.8201,1108.8201,103502970880.0,1.0680616000000003,46.48,16.02,0.0,6.5954,1.0738,16.93,0.0,4.96,0.32,1.0010831,0.0,0.0035894,1.5432,2.7599,1.0022856728517098
10263.4941,9292.1475,1122041331712.0,1.06867884,37.3,3.19,0.0,5.7101,0.9865,-0.59,59113000960.0,4.47,0.29,0.98898872,0.0,0.00860526,-3.4115,1.9425,0.9905063130498609
4767.667,2519.9055,491799969792.0,1.074174,39.0,3.55,0.0,7.1801,0.9754,1.74,0.0,3.75,0.27,0.99282041,0.0,0.00868852,1.9833,2.5954,0.9813084261128137
